Region,A_reference,A_market,B_reference,B_market,mean_a_b_ref
Americas,0.00014001392741401082,0.023851713211543227,6.308074920635782e-06,0.015336696253505573,0.00013370585249337504
Asia Pacific,0.0007785583051274829,0.01808328679479123,2.050648074227349e-05,0.007532373977689549,0.0007580518243852094
Central Europe,0.0018885451893337496,0.016299772597430515,0.00010467592624858198,0.012166053069543232,0.0017838692630851676
Middle East & Africa,0.0026127003728537235,0.011575496800176614,6.206362986334655e-06,0.010150920829654948,0.002606494009867389
Northern Europe,0.001106927058978437,0.019186244602343736,0.00022065207554790365,0.016269076303834562,0.0008862749834305335
Southern Europe,0.003385649077766065,0.01291256998380367,0.00029256968984730467,0.004999465101034686,0.0030930793879187604
